inputs,label
"[2.82712885 1.28459715 0.19791988 0.74658406 1.34171165 0.38130917
 0.         0.72064334 0.74651249 1.19734736 2.23584278 0.03212463]",1
"[5.59337941 1.28459715 0.19791988 1.79537177 4.2771971  3.15133888
 2.34241934 1.37639552 0.74651249 0.         0.759218   2.18895324]",1
"[3.19974059 0.98614255 0.80571975 2.82268024 2.16059059 0.91853285
 0.36931299 0.63731737 0.         1.19734736 2.12098039 0.90292281]",1
"[4.9210932  1.28459715 0.19791988 1.94655766 6.32472439 2.02592891
 0.52516122 2.82817556 0.98830528 0.98830528 2.0391997  1.53695706]",1
"[2.76886338 1.82367972 2.39204724 2.07809134 4.16419046 1.08338742
 0.33081376 0.03671734 0.74651249 1.19734736 2.73395659 7.93855001]",1
"[2.76625055 0.         0.         1.04878771 2.93548545 2.77002972
 2.34241934 2.09703886 0.         1.19734736 1.47662479 2.15682861]",1
"[0.37261173 0.2984546  0.60779987 2.07609618 0.81887894 0.53722368
 0.36931299 1.35796071 0.74651249 0.         0.11486239 0.87079818]",1
"[2.09396434 0.         0.         1.1999736  4.98301274 1.64461975
 0.52516122 3.5488189  0.24179279 0.20904208 0.19664308 1.50483243]",1
"[0.05826548 3.10827688 2.58996713 2.8246754  2.82247881 0.70207826
 0.33081376 0.68392599 0.         0.         4.96979937 7.90642537]",1
"[2.39363882 0.2984546  0.60779987 1.02730847 2.11660651 2.23280603
 1.97310636 0.73907815 0.74651249 1.19734736 1.36176239 1.28603042]",1
"[0.67228621 0.         0.         0.15118589 2.04752729 1.12540997
 1.81725812 1.45178004 0.24179279 0.98830528 1.27998171 0.65199618]",1
"[2.82451603 3.10827688 2.58996713 3.87346311 0.11300664 2.06795146
 2.6732331  1.41311286 0.         1.19734736 3.49317459 5.74959677]",1
"[1.72135261 0.2984546  0.60779987 0.87612258 4.1641338  1.10739606
 0.15584824 2.19085819 0.98830528 0.20904208 0.08178069 0.63403425]",1
"[0.43087721 2.80982227 3.19776699 4.90077158 2.00359987 0.16485457
 0.70012674 0.67403472 0.74651249 0.         4.85493698 7.03562719]",1
"[2.15222982 3.10827688 2.58996713 4.024649   2.16053393 0.94254149
 0.85597498 2.86489291 0.24179279 0.20904208 4.7731563  6.40159294]",1
"[9.09941213 3.23764795 3.12122478 1.99980162 6.40021725 3.88169739
 0.31502659 1.25127575 0.95555457 1.9720483  2.41722252 6.54662938]",1
"[8.47055158 0.98900312 1.14448964 2.99285751 4.86388003 2.94125105
 1.92060716 2.68273326 0.95555457 2.18109038 3.21392074 6.34136663]",1
"[6.36038988 2.12033777 2.95683327 0.48016931 2.92287819 3.15477525
 1.13557862 0.58443269 0.95555457 2.18109038 1.07251877 1.87101275]",1
"[4.91824966 0.1375627  0.1732581  0.65297896 2.25584404 1.84481866
 1.13557862 0.16293781 0.95555457 2.18109038 0.37802281 2.82086794]",1
"[2.81483017 0.1375627  0.98614255 1.58196282 1.40932784 1.30094521
 0.17902011 1.26895066 0.95555457 1.9720483  1.16820402 3.58236533]",1
"[2.81483017 0.1375627  0.98614255 1.58196282 1.40932784 1.30094521
 0.17902011 1.26895066 0.95555457 1.9720483  1.16820402 3.58236533]",1
"[4.18720264 0.83065603 1.14448964 2.79851209 2.30754513 4.15743337
 3.74480981 2.2418487  0.95555457 1.22553581 2.21752856 1.41025034]",1
"[8.42638136 0.98900312 1.14448964 0.48016931 6.49304894 4.45813884
 1.13557862 0.14480985 0.         1.22553581 0.24706839 4.99102206]",1
