image_set,image_name,left_eyebr_width,right_eyebr_width,left_eyebr_y_pos,right_eyebr_y_pos,dist_inner_eyebr,dist_outer_eyebr,eyebr_inner_slope,eyebr_outer_slope,dist_inner_eyes,dist_outer_eyes,eye_shape,nose_width,nose_height,nose_shape,mouth_width,mouth_height,face_width1,face_width2,face_width3,eye_to_eyebr,nose_to_eyebr,philtrum
10,3.jpg,0.36450412344354305,0.3640998981260333,1.0404704209588806,1.037460839640873,0.2084891253508112,0.9289478792895477,0.0425531914893617,-0.475,0.3087122757101355,0.7088136553747902,-19.990066936870548,0.19996361478422478,0.36418049713147876,1.938616061963252,0.379134776026432,0.12927574715760662,257.19447894540815,240.25195108468944,172.23530416264836,36.9190488013015,124.25174685034207,0.2307391874368653
10,1.jpg,0.38811580332852474,0.41597958017602554,1.0346503494825783,1.0440926976299991,0.1786529700702077,0.9763511046613723,0.04921630094043887,-0.44680851063829785,0.3264314552850205,0.7442912498144704,-16.55629078209722,0.23910505197269566,0.36551957067993046,1.6390189400459494,0.42880605739111144,0.12383272348675183,280.5779749018087,263.6152499382386,193.74725804511402,42.15664370637925,137.0282821288638,0.23000227227692888
8,28.jpg,0.3524141178439991,0.37694980145241275,1.0529555310333782,1.04200301847532,0.270660992117733,1.0,-0.022796352583586615,-0.5641025641025641,0.3199415580011341,0.770649598903123,64.98271379383038,0.21321143328044428,0.39299673979218536,1.9616672989996582,0.42730607598503273,0.1194819645951971,268.2256512714621,244.29490375363952,165.36626016210198,32.06249982182561,136.25689466668342,0.2425889907268669
8,27.jpg,0.32696947718993724,0.4114510550146981,1.0397583369280763,1.0429208934575707,0.18400650568537413,0.9221145455999603,-0.064546748932131,-0.5882352941176471,0.28918707297041946,0.7010322435806872,6.8536721898790915,0.203436589479265,0.3772844359345071,1.8312422766696024,0.37826776394481393,0.12587458078762992,251.45377308761942,236.76359517459605,161.19863522995473,28.768532582408703,115.94925342105645,0.24620099803904005
4,8.jpg,0.3912694629344008,0.34769340185146624,1.0356258176539506,1.0336034770824598,0.09371294312555456,0.8282749322502704,0.0451314854299929,-0.5172413793103449,0.24727118948452334,0.6190100696281688,73.4586774158405,0.25319842945316623,0.3454489157445341,1.2859739777838783,0.387661599333766,0.10981714242118093,316.26729201736936,320.1265374816652,233.01931250435015,35.22030230848051,131.04715951605777,0.2331458532614459
4,9.jpg,0.3623591086209589,0.32015478560874094,1.0375554955325539,1.0502831791526308,0.15409265832420732,0.8297042983912881,0.033333333333333326,-0.54,0.26241034147556114,0.6166581826102,-20.52092462056264,0.21315948052119046,0.3443378260745462,1.4321577791811704,0.3968335247686359,0.11189811258061186,311.231425148554,305.08031729365956,218.05733191066977,31.040286986279888,119.07988098267015,0.23397867894134305
3,11.jpg,0.3665294767114696,0.383260838436268,1.0383667838311044,1.0475922699304567,0.15966215063333652,0.9044919492681681,0.03458333333333333,-0.5121951219512195,0.2906003073782862,0.6712291190598382,23.331055250065475,0.2251277912693342,0.3768557343651897,1.5841665344036242,0.3891373197389325,0.14709791300992528,259.2778432492835,244.3460660620506,172.41809649801846,22.461121789081858,113.43880965529421,0.2335651518925729
3,10.jpg,0.3768900423463232,0.38323109180697634,1.0555212655472173,1.0415117831074052,0.18337244195117378,0.9210602950189485,0.010204081632653073,-0.8285714285714286,0.3055653215694745,0.689689463807408,-24.954494420250413,0.2226462371638548,0.3289388683240442,1.4316344674079906,0.41901825765432493,0.10001217260762052,240.05207768315609,229.10696191953662,163.04907236779974,35.92595712055835,102.69125350204507,0.21289770826094523
12,29.jpg,0.35632329721031636,0.3732938716436978,1.0333981026891859,1.0365328088223975,0.15433802097701368,0.8763176275013889,-0.05932203389830508,-0.6888888888888889,0.2820670093307776,0.664915302539024,18.27932925157637,0.20491160056215416,0.3544228578261943,1.78493082702529,0.38359622966829365,0.1305748279368395,316.4048040090416,298.328677803526,207.1183236703117,48.936855765664774,148.87563198474407,0.24467153675244252
12,43.jpg,0.36126326205056414,0.3840271722628423,1.0410194459214164,1.0325128805097328,0.14467561166167467,0.8638404267122661,0.016086956521739137,-0.8055555555555556,0.31065619216664847,0.6765712427707727,-54.332387352879735,0.22993645733548582,0.3620924246513281,1.5915014019248512,0.4173533906488467,0.12217350503501778,252.00793638296395,235.00851048419503,168.1071087134628,39.78642377912145,114.27588489979382,0.22330880826448096
