inputs,label
"[13.22036108  7.78574729  5.36536952  0.01963807 10.42034041  6.15407947
  1.47677993  0.51082031  1.26205918  1.26205918  9.64828817  1.14627912]",1
"[6.02660881 3.68535798 2.0033617  3.55720459 3.13772933 2.65785355
 1.64398681 3.04184956 1.26205918 0.28614529 7.2084607  1.64137668]",1
"[1.2802424  0.73737465 0.99615753 0.68262529 1.41401713 1.33873692
 1.28381273 1.77439957 0.69759772 0.         0.9823622  6.04922707]",1
"[13.7257356  12.22828828 11.93588772  6.88589522  9.83485465  9.37842254
  7.60952904  5.20285824  0.28614529  0.          5.17772717  3.45764283]",1
"[ 3.8274635  11.3878011  11.93588772 10.22506144  1.26543544  2.65785355
  3.81366234  4.96977028  0.          0.93939051  0.76624539 12.14902097]",1
"[10.89771512  8.90051614  7.05919089  1.25235692  6.72529209  5.31791116
  2.3708422   0.51082031  1.26205918  0.69759772  5.30813806  1.14627912]",1
"[2.53151815 2.73188777 2.87462711 2.10639611 1.55287793 1.02994499
 1.24033902 2.60378208 0.         0.         0.         1.92200868]",1
"[6.32958258 1.79769865 0.86602974 4.67442878 3.43691265 2.23586634
 2.66110586 5.8688047  0.61483519 0.44578709 2.48139903 3.44096724]",1
"[5.87064603 2.54271898 1.7608413  1.25235692 4.84711426 4.70621322
 3.15832236 1.11974155 1.26205918 1.26205918 1.06787617 0.22946827]",1
"[10.85137858 13.54674988 14.03260499 16.39149423  7.78416659  7.14366259
  9.15835112 13.40812099  1.38516481  1.26205918  1.78569423  8.62217467]",1
"[14.33815786  7.75897331  6.96748164  5.32430931 11.89242431  9.43835072
  5.72790729  5.20285824  2.22288715  0.91302885  8.25761681  1.65011757]",1
"[1.60611743 0.11094695 1.43802009 2.32278151 0.3341896  0.08700229
 1.24033902 2.36507616 0.38516481 0.28614529 3.60445918 0.35371599]",1
"[6.56825595 3.14801685 4.07701343 0.45360846 5.65613887 4.51033347
 2.26902153 1.29814388 0.69759772 0.         3.17311722 3.04506884]",1
"[3.3476426  2.17487767 2.20400297 5.4690283  2.47878012 1.61716204
 1.92947051 4.69403315 0.         0.91302885 6.60861742 5.25264565]",1
"[3.66912784 3.07446461 3.74072928 6.27007227 3.05193426 1.90721298
 3.11777765 5.27968495 1.01795943 0.69759772 9.28036528 2.39508861]",1
"[5.95376322 6.07080831 5.85822149 1.11165148 3.30654667 2.81557411
 1.46104311 0.18985876 0.         0.93939051 1.06787617 0.22946827]",1
"[2.81203044 1.26759733 1.3950961  5.7960921  0.38523887 0.48249702
 2.53554736 4.45530341 0.         0.93939051 5.30813806 2.54703668]",1
"[6.65559338 5.30999822 6.12617961 7.79201709 4.18864333 5.28359124
 5.38476372 5.43754549 1.26205918 1.26205918 0.81226379 1.02829646]",1
"[5.24153275 2.54271898 2.0033617  3.42343223 3.30654667 2.81557411
 2.22541544 1.87147223 0.         0.28614529 0.32992207 1.38513804]",1
"[1.18978074 1.05152883 0.92029429 3.29730486 0.4766036  1.15171676
 2.82772763 2.5163875  0.69759772 0.28614529 5.26853293 3.34922013]",1
"[8.02615606 4.51417568 4.17742799 4.26227875 6.11630446 5.02746838
 2.77844785 3.28333725 1.26205918 0.28614529 5.20373852 2.59342926]",1
"[24.35302604 14.49337755 16.11694369 13.91464503 20.40360618 13.83172283
 12.03538541 12.76466885  1.61483519  0.44578709 10.97050079  3.33543636]",1
"[1.71112254 0.76911893 0.0553713  0.72176547 0.61568251 0.82287809
 0.34777187 0.98937557 0.         0.         1.78569423 1.92200868]",1
"[9.60258596 0.27618116 1.51304213 1.56629268 7.1111697  3.13823774
 1.24033902 0.81624973 0.28614529 0.38516481 3.0459492  2.75869777]",1
"[10.99053784  6.10923828  3.69249097  3.47455572  6.384098    4.37175796
  0.37393235  3.11246226  0.91302885  0.69759772  7.76979425  2.39508861]",1
"[6.52913026 4.01244711 2.2239648  3.27199462 5.05105045 4.37175796
 0.43910134 1.64063051 0.91302885 1.26205918 4.56367799 0.55939035]",1
"[4.388258   4.12205669 3.98276814 2.82727243 3.30654667 4.90870459
 4.12110072 2.52994316 0.38516481 1.26205918 0.8257477  1.64137668]",1
"[6.65559338 1.55601487 0.77022137 2.82727243 3.43691265 3.76262742
 0.93055143 1.11974155 0.         0.93939051 3.01217667 0.50848582]",1
"[11.61061747  6.28908101  2.98738177  1.413683    9.1676509   6.92471773
  0.93055143  1.82293527  1.38516481  0.28614529  3.31808812  1.70014379]",1
"[3.43070063 2.11043036 1.88770635 1.35310529 2.12731234 1.78869528
 0.96151549 0.25294304 0.28614529 0.         2.39039569 0.31237106]",1
"[4.45880332 1.19029142 2.42231134 2.09486452 2.82799141 2.65785355
 1.92062075 1.60600465 0.28614529 1.26205918 1.06787617 1.92200868]",1
"[5.51127538 1.2028826  1.21222603 4.28642446 4.28557619 3.13823774
 3.63663755 5.36910536 0.         0.         1.74154313 4.74874771]",1
"[ 8.69388815 11.10735399 13.77679106 23.14643833  4.71178104  6.20716229
 11.03793697 18.38432495  0.91302885  1.38516481  1.39138237  5.82596451]",1
"[8.58375163 7.04319116 6.06221356 2.66125277 4.9285531  3.56765263
 1.92062075 0.57514531 0.28614529 0.         4.1646545  1.92200868]",1
"[19.20887481 10.0649604   6.12617961  0.10787431 15.55278743 11.63484221
  3.00910736  1.19976002  1.38516481  0.91302885  5.31902626  4.99068932]",1
"[4.83336594 6.7945209  6.53806982 0.69231168 2.06422806 2.42272953
 0.54597483 2.36507616 0.28614529 0.69759772 5.30813806 0.22946827]",1
"[17.91224061 19.80407889 19.46750773 16.27587941 13.1245928  12.30240709
 11.70088105 12.38960882  2.22288715  2.38516481 12.75120744 12.45196663]",1
"[5.95376322 8.62548151 5.88366258 0.15683278 4.52314161 4.07389781
 1.93658859 0.51082031 0.         0.         3.38931519 1.64137668]",1
"[1.71112254 1.2028826  1.89698119 2.10639611 1.26543544 1.19681044
 0.34777187 1.19976002 0.28614529 0.28614529 3.01217667 1.18215279]",1
"[3.10569803 2.54271898 0.79274595 2.97600157 2.3171711  2.15832593
 0.13564956 1.62844807 0.         0.93939051 3.31808812 1.20620729]",1
"[4.51935073 4.07330519 3.40423084 3.1296527  0.61568251 2.4852601
 3.27489215 1.11974155 0.         0.28614529 1.19938572 3.44096724]",1
"[10.10525907  0.21103354  3.1961185   6.69679182  9.89763116  7.2354097
  0.12054995  4.45530341  0.38516481  0.28614529  0.24701928  6.56009177]",1
"[16.02386873  8.98343469  7.17742799  0.93132631 11.70863005  5.80270859
  0.66854533  0.29290656  1.38516481  1.77961353  8.28859573  0.5299133 ]",1
"[14.33815786 15.3899192  15.16076595  4.53089528 12.02680728  8.94325315
  5.38476372  3.79913336  1.38516481  1.26205918  8.28859573  2.82992484]",1
"[10.75885433 11.98597364 11.93588772  8.48135576  9.1676509   9.74017264
  8.64479252  7.58046006  2.22288715  1.38516481  2.39039569  4.74874771]",1
"[ 2.77300187  0.71485007  0.92029429 10.97990046  0.24035506  2.61566391
  6.58307523  8.02604391  0.38516481  0.69759772  7.38372487  3.94915667]",1
