image_name,Eye_br_L,Eye_br_R,Eye_soc_L,Eye_soc_R,Nostril_L,Nostril_R,Moustache,Face_Width,Face_Height,isSimilar,isSame
39.jpg,104.3072384832424,104.07689465006149,56.0,55.326304774492215,15.524174696260026,15.811388300841895,125.19584657647394,298.48450546050117,287.00391983385873,"['0.jpg', '10.jpg', '11.jpg', '15.jpg', '17.jpg', '19.jpg', '20.jpg', '22.jpg', '23.jpg', '24.jpg', '29.jpg', '3.jpg', '33.jpg', '34.jpg', '4.jpg', '40.jpg', '42.jpg', '5.jpg', '7.jpg']",['32.jpg']
4.jpg,89.67719888578144,93.7709976485267,47.38143096192854,48.16637831516918,12.649110640673518,13.601470508735444,95.0473566176356,259.2778432492835,231.73799861049977,"['0.jpg', '10.jpg', '15.jpg', '17.jpg', '19.jpg', '2.jpg', '20.jpg', '22.jpg', '23.jpg', '24.jpg', '29.jpg', '3.jpg', '32.jpg', '33.jpg', '34.jpg', '38.jpg', '39.jpg', '42.jpg', '43.jpg', '5.jpg', '7.jpg']",['11.jpg']
40.jpg,100.07996802557443,93.00537618869137,53.084837759947995,52.23983154643591,13.341664064126336,13.341664064126336,106.01886624558857,291.08418026406036,274.11676344215067,"['13.jpg', '14.jpg', '16.jpg', '18.jpg', '19.jpg', '20.jpg', '29.jpg', '3.jpg', '32.jpg', '34.jpg', '36.jpg', '37.jpg', '39.jpg', '42.jpg', '44.jpg', '5.jpg', '7.jpg', '9.jpg']",[]
41.jpg,80.22468448052632,110.64357188738985,49.010203019371396,53.366656256505344,12.369316876852979,14.560219778561034,100.49875621120891,268.42503609015307,250.9706158098992,"['27.jpg', '30.jpg']",[]
42.jpg,106.30145812734648,111.36426715962351,57.00877125495689,57.3149195236284,15.132745950421555,17.262676501632072,114.35471131527552,313.40867888429636,307.77467407179563,"['10.jpg', '11.jpg', '15.jpg', '16.jpg', '17.jpg', '19.jpg', '2.jpg', '20.jpg', '22.jpg', '23.jpg', '24.jpg', '3.jpg', '32.jpg', '33.jpg', '34.jpg', '38.jpg', '39.jpg', '4.jpg', '40.jpg', '43.jpg', '5.jpg', '7.jpg']",['29.jpg']
43.jpg,84.17244204607586,90.52071586106683,43.0,43.01162633521314,13.038404810405295,13.038404810405295,98.08159868191385,253.00197627686626,238.50209642684482,"['11.jpg', '15.jpg', '16.jpg', '19.jpg', '2.jpg', '24.jpg', '29.jpg', '33.jpg', '34.jpg', '38.jpg', '4.jpg', '42.jpg', '7.jpg']",[]
44.jpg,112.44554237496477,97.67292357659824,56.0357029044876,53.03772242470448,16.492422502470642,17.262676501632072,122.10241602851272,311.31495306200765,270.03564579514307,"['40.jpg', '5.jpg']",['9.jpg']
5.jpg,111.1260545506768,105.00476179678712,56.222771187482394,56.08921464952064,14.142135623730953,14.31782106327635,102.70345661174214,310.4593371119638,267.30366626741204,"['11.jpg', '15.jpg', '16.jpg', '17.jpg', '19.jpg', '20.jpg', '29.jpg', '3.jpg', '32.jpg', '34.jpg', '39.jpg', '4.jpg', '40.jpg', '42.jpg', '44.jpg', '7.jpg', '9.jpg']",[]
6.jpg,75.95393340703299,90.0,45.011109739707614,46.690470119715,9.219544457292887,10.44030650891055,80.39900496896712,261.27571643763605,214.597297280278,[],['35.jpg']
7.jpg,98.00510190801292,100.28459502834923,55.036351623268054,56.0,15.297058540778355,15.132745950421555,115.0,298.10736320996836,287.0435507026765,"['11.jpg', '13.jpg', '14.jpg', '15.jpg', '16.jpg', '18.jpg', '19.jpg', '2.jpg', '20.jpg', '23.jpg', '26.jpg', '28.jpg', '29.jpg', '3.jpg', '32.jpg', '36.jpg', '37.jpg', '38.jpg', '39.jpg', '4.jpg', '40.jpg', '42.jpg', '43.jpg', '5.jpg']",['34.jpg']
8.jpg,124.32618388738553,111.30588483993108,60.13318551349163,59.0,20.8806130178211,18.439088914585774,124.0644993541666,317.3089976663126,302.6491367904425,['0.jpg'],[]
9.jpg,112.44554237496477,97.67292357659824,56.0357029044876,53.03772242470448,16.492422502470642,17.262676501632072,122.10241602851272,311.31495306200765,270.03564579514307,"['40.jpg', '5.jpg']",['44.jpg']
